application,sample,scene,evidence_level,function_template_count,function_template_shallow_bytes,eligible_class_count,eligible_template_count,eligible_current_bytes,recipe_metadata_bytes,conditional_net_shallow_bytes,conditional_net_shallow_mib,heap_domain_scope
alipay,alipay,top13-single-process-snapshot,conditional_net_complete_ownership,56311,2252440,7006,53714,2148560,1457280,691280,0.659256,"LocalHeap+SharedHeap, domain-local only"
bilibili,bilibili,top13-single-process-snapshot,conditional_net_complete_ownership,22008,880320,4155,20674,826960,595896,231064,0.220360,"LocalHeap+SharedHeap, domain-local only"
douyin,douyin,top13-single-process-snapshot,conditional_net_complete_ownership,179395,7175800,21107,172177,6887080,4638816,2248264,2.144112,"LocalHeap+SharedHeap, domain-local only"
gaodeditu,gaodeditu,top13-single-process-snapshot,conditional_net_complete_ownership,31668,1266720,4293,30033,1201320,823824,377496,0.360008,"LocalHeap+SharedHeap, domain-local only"
jingdong,jingdong,top13-single-process-snapshot,conditional_net_complete_ownership,92149,3685960,12059,89292,3571680,2432424,1139256,1.086479,"LocalHeap+SharedHeap, domain-local only"
jrtt,jrtt,top13-single-process-snapshot,conditional_net_complete_ownership,69145,2765800,9306,66050,2642000,1808544,833456,0.794846,"LocalHeap+SharedHeap, domain-local only"
kuaishou,kuaishou,top13-single-process-snapshot,conditional_net_complete_ownership,57864,2314560,7176,54918,2196720,1490256,706464,0.673737,"LocalHeap+SharedHeap, domain-local only"
meituan,meituan,top13-single-process-snapshot,conditional_net_complete_ownership,75345,3013800,9579,72029,2881160,1958592,922568,0.879829,"LocalHeap+SharedHeap, domain-local only"
meituanzhongbao,meituanzhongbao,top13-single-process-snapshot,conditional_net_complete_ownership,44953,1798120,5721,42664,1706560,1161240,545320,0.520058,"LocalHeap+SharedHeap, domain-local only"
pinduoduo,pinduoduo,top13-single-process-snapshot,conditional_net_complete_ownership,52057,2082280,6771,49349,1973960,1346880,627080,0.598030,"LocalHeap+SharedHeap, domain-local only"
taobao,taobao,top13-single-process-snapshot,conditional_net_complete_ownership,41676,1667040,5428,39325,1573000,1074072,498928,0.475815,"LocalHeap+SharedHeap, domain-local only"
wechat,wechat,top13-single-process-snapshot,conditional_net_complete_ownership,42265,1690600,5640,39886,1595440,1092624,502816,0.479523,"LocalHeap+SharedHeap, domain-local only"
weibo,weibo,top13-single-process-snapshot,conditional_net_complete_ownership,189223,7568920,21386,183708,7348320,4922256,2426064,2.313675,"LocalHeap+SharedHeap, domain-local only"
kuaishou,kuaishou_foreground_api26,foreground,conditional_net_complete_ownership,57864,2314560,7176,54918,2196720,1490256,706464,0.673737,"LocalHeap+SharedHeap, domain-local only"
kuaishou,kuaishou_background,background-after-user-confirmed-full-gc,conditional_net_complete_ownership,55523,2220920,6885,52700,2108000,1430040,677960,0.646553,"LocalHeap+SharedHeap, domain-local only"
top13-aggregate,top13-aggregate,13-independent-process-snapshots-summed,conditional_net_complete_ownership,954059,38162360,119627,913819,36552760,24802704,11750056,11.205727,"LocalHeap+SharedHeap, domain-local only"
