application,schema,effective_properties,objects,current_shallow_bytes,compact_shallow_bytes,slack_upper_bound_bytes
kuaishou-foreground-api26,translated-v2,0,2,32,32,0
kuaishou-foreground-api26,translated-v2,1,8065,494912,258080,236832
kuaishou-foreground-api26,translated-v2,2,6328,542400,303744,238656
kuaishou-foreground-api26,translated-v2,3,20547,2205392,1315008,890384
kuaishou-foreground-api26,translated-v2,4,9974,1244304,797920,446384
kuaishou-foreground-api26,translated-v2,5,3490,515904,335040,180864
kuaishou-foreground-api26,translated-v2,6,2567,421744,287504,134240
kuaishou-foreground-api26,translated-v2,7,2496,430304,319488,110816
kuaishou-foreground-api26,translated-v2,8,1836,348736,264384,84352
kuaishou-foreground-api26,translated-v2,9,1321,303024,211360,91664
kuaishou-foreground-api26,translated-v2,10,1444,358192,254144,104048
kuaishou-foreground-api26,translated-v2,11,1158,308336,222336,86000
kuaishou-foreground-api26,translated-v2,12,1114,300576,231712,68864
kuaishou-foreground-api26,translated-v2,13,690,197136,154560,42576
kuaishou-foreground-api26,translated-v2,14,707,223136,169680,53456
kuaishou-foreground-api26,translated-v2,15,447,144448,114432,30016
kuaishou-foreground-api26,translated-v2,16,512,165920,139264,26656
kuaishou-foreground-api26,translated-v2,17,526,194368,151488,42880
kuaishou-foreground-api26,translated-v2,18,404,149408,122816,26592
kuaishou-foreground-api26,translated-v2,19,424,168512,135680,32832
kuaishou-foreground-api26,translated-v2,20,314,124224,105504,18720
kuaishou-foreground-api26,translated-v2,21,430,188272,151360,36912
kuaishou-foreground-api26,translated-v2,22,205,88880,75440,13440
kuaishou-foreground-api26,translated-v2,23,283,131248,108672,22576
kuaishou-foreground-api26,translated-v2,24,300,142432,120000,22432
kuaishou-foreground-api26,translated-v2,25,340,172224,141440,30784
kuaishou-foreground-api26,translated-v2,26,231,119360,99792,19568
kuaishou-foreground-api26,translated-v2,27,206,109872,92288,17584
kuaishou-foreground-api26,translated-v2,28,191,101584,88624,12960
kuaishou-foreground-api26,translated-v2,29,175,96880,84000,12880
kuaishou-foreground-api26,translated-v2,30,108,62192,53568,8624
kuaishou-foreground-api26,translated-v2,31,160,95040,81920,13120
kuaishou-foreground-api26,translated-v2,32,142,84560,74976,9584
kuaishou-foreground-api26,translated-v2,33,50,30528,27200,3328
kuaishou-foreground-api26,translated-v2,34,85,54672,47600,7072
kuaishou-foreground-api26,translated-v2,35,63,41216,36288,4928
kuaishou-foreground-api26,translated-v2,36,103,66224,60976,5248
kuaishou-foreground-api26,translated-v2,37,92,63600,55936,7664
kuaishou-foreground-api26,translated-v2,38,116,82080,72384,9696
kuaishou-foreground-api26,translated-v2,39,133,97856,85120,12736
kuaishou-foreground-api26,translated-v2,40,91,65984,59696,6288
kuaishou-foreground-api26,translated-v2,41,111,85568,74592,10976
kuaishou-foreground-api26,translated-v2,42,46,34912,31648,3264
kuaishou-foreground-api26,translated-v2,43,31,24464,21824,2640
kuaishou-foreground-api26,translated-v2,44,96,74128,69120,5008
kuaishou-foreground-api26,translated-v2,45,34,27760,25024,2736
kuaishou-foreground-api26,translated-v2,46,38,31696,28576,3120
kuaishou-foreground-api26,translated-v2,47,21,17600,16128,1472
kuaishou-foreground-api26,translated-v2,48,78,65920,61152,4768
kuaishou-foreground-api26,translated-v2,49,23,19296,18400,896
kuaishou-foreground-api26,translated-v2,50,25,21824,20400,1424
kuaishou-foreground-api26,translated-v2,51,45,40688,37440,3248
kuaishou-foreground-api26,translated-v2,52,57,50592,48336,2256
kuaishou-foreground-api26,translated-v2,53,35,33344,30240,3104
kuaishou-foreground-api26,translated-v2,54,42,39632,36960,2672
kuaishou-foreground-api26,translated-v2,55,17,16080,15232,848
kuaishou-foreground-api26,translated-v2,56,34,31328,31008,320
kuaishou-foreground-api26,translated-v2,57,14,13680,12992,688
kuaishou-foreground-api26,translated-v2,58,65,67728,61360,6368
kuaishou-foreground-api26,translated-v2,59,27,26560,25920,640
kuaishou-foreground-api26,translated-v2,60,32,31568,31232,336
kuaishou-foreground-api26,translated-v2,61,41,43248,40672,2576
kuaishou-foreground-api26,translated-v2,62,9,9264,9072,192
kuaishou-foreground-api26,translated-v2,63,48,53328,49152,4176
kuaishou-foreground-api26,translated-v2,64,26,27264,27040,224
kuaishou-foreground-api26,translated-v2,65,33,37344,34848,2496
kuaishou-foreground-api26,translated-v2,66,11,12288,11792,496
kuaishou-foreground-api26,translated-v2,67,6,6656,6528,128
kuaishou-foreground-api26,translated-v2,68,22,24640,24288,352
kuaishou-foreground-api26,translated-v2,69,7,8256,7840,416
kuaishou-foreground-api26,translated-v2,70,16,18688,18176,512
kuaishou-foreground-api26,translated-v2,71,43,53664,49536,4128
kuaishou-foreground-api26,translated-v2,72,17,20000,19856,144
kuaishou-foreground-api26,translated-v2,73,27,34288,31968,2320
kuaishou-foreground-api26,translated-v2,74,6,7472,7200,272
kuaishou-foreground-api26,translated-v2,75,24,31312,29184,2128
kuaishou-foreground-api26,translated-v2,76,34,44496,41888,2608
kuaishou-foreground-api26,translated-v2,77,4,5248,4992,256
kuaishou-foreground-api26,translated-v2,78,33,44976,41712,3264
kuaishou-foreground-api26,translated-v2,79,21,29040,26880,2160
