application,schema,effective_properties,objects,current_shallow_bytes,compact_shallow_bytes,slack_upper_bound_bytes
alipay,legacy,0,2,32,32,0
alipay,legacy,1,11566,824912,370112,454800
alipay,legacy,2,7907,608720,379536,229184
alipay,legacy,3,10947,936496,700608,235888
alipay,legacy,4,6336,672208,506880,165328
alipay,legacy,5,3057,423648,293472,130176
alipay,legacy,6,2219,324672,248528,76144
alipay,legacy,7,1986,322224,254208,68016
alipay,legacy,8,1278,219376,184032,35344
alipay,legacy,9,960,190448,153600,36848
alipay,legacy,10,854,183312,150304,33008
alipay,legacy,11,781,172896,149952,22944
alipay,legacy,12,592,134160,123136,11024
alipay,legacy,13,578,153696,129472,24224
alipay,legacy,14,380,104000,91200,12800
alipay,legacy,15,364,107664,93184,14480
alipay,legacy,16,371,107248,100912,6336
alipay,legacy,17,288,92672,82944,9728
alipay,legacy,18,238,82336,72352,9984
alipay,legacy,19,201,70640,64320,6320
alipay,legacy,20,165,59456,55440,4016
alipay,legacy,21,164,66432,57728,8704
alipay,legacy,22,168,67120,61824,5296
alipay,legacy,23,144,59232,55296,3936
alipay,legacy,24,122,54352,48800,5552
alipay,legacy,25,94,43360,39104,4256
alipay,legacy,26,90,40640,38880,1760
alipay,legacy,27,106,51088,47488,3600
alipay,legacy,28,139,70624,64496,6128
alipay,legacy,29,107,54960,51360,3600
alipay,legacy,30,94,50336,46624,3712
alipay,legacy,31,71,39952,36352,3600
alipay,legacy,32,84,46000,44352,1648
alipay,legacy,33,42,25312,22848,2464
alipay,legacy,34,25,14832,14000,832
alipay,legacy,35,57,34080,32832,1248
alipay,legacy,36,48,28560,28416,144
alipay,legacy,37,33,22336,20064,2272
alipay,legacy,38,59,38640,36816,1824
alipay,legacy,39,20,14000,12800,1200
alipay,legacy,40,46,31536,30176,1360
alipay,legacy,41,25,17488,16800,688
alipay,legacy,42,34,24368,23392,976
alipay,legacy,43,7,5072,4928,144
alipay,legacy,44,23,16560,16560,0
alipay,legacy,45,30,23408,22080,1328
alipay,legacy,46,44,35744,33088,2656
alipay,legacy,47,37,29856,28416,1440
alipay,legacy,48,15,11808,11760,48
alipay,legacy,49,48,42320,38400,3920
alipay,legacy,50,16,13600,13056,544
alipay,legacy,51,12,10432,9984,448
alipay,legacy,52,9,7632,7632,0
alipay,legacy,53,6,5280,5184,96
alipay,legacy,54,22,19584,19360,224
alipay,legacy,55,29,27728,25984,1744
alipay,legacy,56,17,15648,15504,144
alipay,legacy,57,5,4928,4640,288
alipay,legacy,58,22,20832,20768,64
alipay,legacy,59,13,12672,12480,192
alipay,legacy,60,4,3952,3904,48
alipay,legacy,61,5,5088,4960,128
alipay,legacy,62,3,3088,3024,64
alipay,legacy,63,4,4128,4096,32
alipay,legacy,64,2,2128,2080,48
alipay,legacy,65,2,2192,2112,80
alipay,legacy,66,46,51200,49312,1888
alipay,legacy,67,5,5552,5440,112
alipay,legacy,68,14,16688,15456,1232
alipay,legacy,69,27,31312,30240,1072
alipay,legacy,70,13,15168,14768,400
alipay,legacy,71,3,3472,3456,16
alipay,legacy,72,17,20976,19856,1120
alipay,legacy,73,13,15952,15392,560
alipay,legacy,75,12,14640,14592,48
alipay,legacy,76,25,32640,30800,1840
alipay,legacy,77,14,17776,17472,304
alipay,legacy,78,25,31952,31600,352
alipay,legacy,79,4,5200,5120,80
alipay,legacy,80,1,1312,1296,16
alipay,legacy,81,2,2640,2624,16
alipay,legacy,82,11,15440,14608,832
alipay,legacy,83,3,4064,4032,32
alipay,legacy,84,12,16320,16320,0
alipay,legacy,85,2,2848,2752,96
alipay,legacy,86,1,1408,1392,16
alipay,legacy,87,14,20880,19712,1168
alipay,legacy,88,2,2848,2848,0
alipay,legacy,89,30,45280,43200,2080
alipay,legacy,90,1,1504,1456,48
