application,sample,scene,evidence_level,vm_count,capture_time,hclass_objects,distinct_layout_targets,layout_shallow_bytes,model_coverage_bytes,unique_contents,duplicate_groups,duplicate_objects,canonical_bytes,gross_shareable_bytes,index_entry_bytes,index_load_factor,index_cost_bytes,conditional_net_shallow_bytes
alipay,top13-single,unavailable,upper_bound_missing_attr,unavailable,unavailable,58508,53781,7973392,7973392,12922,2928,40859,2347968,5625424,16,0.75,275680,5349744
bilibili,top13-single,unavailable,upper_bound_missing_attr,unavailable,unavailable,23340,21249,3005808,3005808,7873,782,13376,1669888,1335920,16,0.75,167968,1167952
douyin,top13-single,unavailable,upper_bound_missing_attr,unavailable,unavailable,133401,118367,17229904,17229904,39422,5243,78945,7464656,9765248,16,0.75,841008,8924240
gaodeditu,top13-single,unavailable,upper_bound_missing_attr,unavailable,unavailable,27083,22322,3473408,3473408,9341,2460,12981,2113088,1360320,16,0.75,199280,1161040
jingdong,top13-single,unavailable,upper_bound_missing_attr,unavailable,unavailable,83345,74235,11662880,11662880,14763,4418,59472,3483184,8179696,16,0.75,314944,7864752
jrtt,top13-single,unavailable,upper_bound_missing_attr,unavailable,unavailable,68103,58842,8515904,8515904,16614,3727,42228,3261136,5254768,16,0.75,354432,4900336
kuaishou,top13-single,unavailable,upper_bound_missing_attr,unavailable,unavailable,76848,69744,13593296,13593296,20495,3325,49249,4879792,8713504,16,0.75,437232,8276272
meituan,top13-single,unavailable,upper_bound_missing_attr,unavailable,unavailable,61146,55571,8497968,8497968,15101,4932,40470,3104208,5393760,16,0.75,322160,5071600
meituanzhongbao,top13-single,unavailable,upper_bound_missing_attr,unavailable,unavailable,43415,39494,6090304,6090304,8932,2958,30562,1818208,4272096,16,0.75,190560,4081536
pinduoduo,top13-single,unavailable,upper_bound_missing_attr,unavailable,unavailable,63222,56242,8418128,8418128,8637,3636,47605,1767344,6650784,16,0.75,184256,6466528
taobao,top13-single,unavailable,upper_bound_missing_attr,unavailable,unavailable,32373,28365,4115568,4115568,11720,1624,16645,2482240,1633328,16,0.75,250032,1383296
wechat,top13-single,unavailable,upper_bound_missing_attr,unavailable,unavailable,40753,38555,5465200,5465200,18027,1670,20528,3541920,1923280,16,0.75,384576,1538704
weibo,top13-single,unavailable,upper_bound_missing_attr,unavailable,unavailable,107960,98967,16513792,16513792,12821,4597,86146,3187936,13325856,16,0.75,273520,13052336
kuaishou,kuaishou-foreground-api26,foreground,strict_complete_slots,unavailable,2026-08-01T14:32:43.429+08:00,76848,69745,13593296,13574224,21321,3518,48414,5004640,8569584,16,0.75,454848,8114736
kuaishou,kuaishou-background,background-after-user-confirmed-full-gc,strict_complete_slots,unavailable,unavailable,68706,62492,11982416,11963344,20546,4945,41936,4877376,7085968,16,0.75,438320,6647648
